institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
UNIVERSITY-OF-NORTH-DAKOTA,national-universities,,ND,Grand Forks,58202,,True,public,,#236,236,True,20,,83,15570,3.6,2.1,,9928,2.4,1090,,1090-1280,20-26
UNIVERSITY-OF-NORTHERN-COLORADO,national-universities,,CO,Greeley,80639,,True,public,,#352,352,True,20,,84,26204,3.5,,,6728,2.2,990,,990-1200,20-27
UNIVERSITY-OF-NORTHERN-IOWA,regional-universities-midwest,,IA,Cedar Falls,50614,midwest,True,public,,#11,11,True,20,21,95,21272,3.6,,,7739,2.3,1020,27578.0,1020-1330,20-26
UNIVERSITY-OF-NORTH-FLORIDA,national-universities,,FL,Jacksonville,32224,,True,public,,#236,236,True,18,,71,20107,3.6,2.5,,14171,2.3,1010,,1010-1220,18-25
UNIVERSITY-OF-NORTH-GEORGIA,regional-universities-south,,GA,Dahlonega,30597,south,True,public,,#41,41,True,19,13,69,21170,3.6,,,17256,2.2,1010,33941.0,1010-1200,19-25
UNIVERSITY-OF-NORTH-TEXAS,national-universities,,TX,Denton,76203,,True,public,,#260,260,True,19,,79,24644,,2.1,,33024,2.6,1000,,1000-1240,19-27
UNIVERSITY-OF-NORTH-TEXAS-AT-DALLAS,regional-universities-west,,TX,Dallas,75241,west,True,public,,#44,44,True,14,2,94,22117,3.3,,,3001,,840,29654.0,840-1044,14-20
UNIVERSITY-OF-NORTHWESTERN-OHIO,regional-colleges-midwest,,OH,Lima,45805,midwest,True,private,,#64,64,True,,,,12470,,,,2687,,,,N/A,N/A
UNIVERSITY-OF-NORTHWESTERN-ST.-PAUL,regional-universities-midwest,,MN,St. Paul,55113,midwest,True,private,,#45,45,False,21,75,93,36830,3.6,< 2.0,,3161,,1016,27355.0,1016-1311,21-28
UNIVERSITY-OF-NOTRE-DAME,national-universities,Notre Dame,IN,Notre Dame,46556,,True,private,,#20,20,False,32,46,13,62693,,3.3,,8971,4.0,1420,29317.0,1420-1550,32-35
UNIVERSITY-OF-OKLAHOMA,national-universities,,OK,Norman,73019,,True,public,,#124,124,True,23,15,73,25880,3.7,2.5,,21294,3.2,1130,40848.0,1130-1330,23-29
UNIVERSITY-OF-OKLAHOMA-HEALTH-SCIENCES-CENTER,special-focus-research,,OK,Oklahoma City,73190,,True,public,,Unranked,-2,False,,,,24731,,,,853,,,,N/A,N/A
THE-UNIVERSITY-OF-OLIVET,regional-colleges-midwest,,MI,Olivet,49076,midwest,True,private,,#38,38,False,18,,89,33076,,,,851,,910,,910-1120,18-23
UNIVERSITY-OF-OREGON,national-universities,,OR,Eugene,97403,,True,public,,#98,98,True,24,12,86,41194,3.8,,,19565,3.4,1140,51160.0,1140-1370,24-30
UNIVERSITY-OF-PENNSYLVANIA,national-universities,UPenn,PA,Philadelphia,19104,,True,private,,#6,6,False,34,44,7,66104,3.9,3.8,,9760,4.7,1500,27506.0,1500-1570,34-35
UNIVERSITY-OF-PIKEVILLE,national-universities,Pikeville College,KY,Pikeville,41501,,True,private,,#395-435,-1,False,17,,76,24150,3.5,,,1483,,940,,940-1200,17-23
UNIVERSITY-OF-PITTSBURGH,national-universities,Pitt,PA,Pittsburgh,15260,,True,public,,#67,67,True,29,,49,39890,3.9,3.1,,19928,3.5,1280,,1280-1470,29-33
UNIVERSITY-OF-PITTSBURGH-AT-BRADFORD,regional-colleges-north,,PA,Bradford,16701,north,True,public,,#20,20,True,18,,96,26494,3.3,,,1074,,980,,980-1200,18-29
UNIVERSITY-OF-PITTSBURGH-AT-GREENSBURG,national-liberal-arts-colleges,,PA,Greensburg,15601,,True,public,,#186-204,-1,False,18,,91,26504,,,,1306,,1030,,1030-1210,18-25
UNIVERSITY-OF-PITTSBURGH-AT-JOHNSTOWN,regional-colleges-north,,PA,Johnstown,15904,north,True,public,,#12,12,True,19,,97,26520,3.6,2.3,,2039,,,,N/A,19-28
UNIVERSITY-OF-PORTLAND,regional-universities-west,UP,OR,Portland,97203,west,True,private,,#2,2,False,27,44,93,54900,3.4,3.1,,3374,2.6,1220,36616.0,1220-1410,27-31
UNIVERSITY-OF-PROVIDENCE,regional-universities-west,,MT,Great Falls,59401,west,True,private,,#98,98,True,17,,100,27456,,,,665,,1140,,1140-1280,17-23
UNIVERSITY-OF-PUERTO-RICO-AGUADILLA,regional-colleges-south,University of Puerto Rico Aguadilla,PR,Aguadilla,00604,south,True,public,,#52,52,True,,,77,5954,,,,1985,,863,,863-1088,N/A
UNIVERSITY-OF-PUERTO-RICO-ARECIBO,regional-colleges-south,University of Puerto Rico Arecibo,PR,Arecibo,00614,south,True,public,,#34,34,True,,,60,5324,3.8,,,2897,,,,N/A,N/A
UNIVERSITY-OF-PUERTO-RICO-BAYAMON,regional-colleges-south,University of Puerto Rico Bayamon University College,PR,Bayamon,00959,south,True,public,,#81,81,True,,,31,6884,,,,3022,,,,N/A,N/A
